Name,PhysicalAddress,PostalAddress,Email,Phone,Administration Manager,Principal,Location,Directorate
Tennant Creek Primary School,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",admin.tennasch@education.nt.gov.au,(08) 896 32424,Rowena Verdillo,Katrina Georgiou,"134.18925,-19.6501",Central Australia
Stuart Park Primary School,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",stuartpark.school@education.nt.gov.au,(08) 899 77333,Bill Grealy,Danielle Hall,"130.8451,-12.44091",North
Stirling School,"N/A, Wilora (Stirling Station) 0872, NT","Stirling Station, via Alice Springs, 0872, NT",lisa.donoghue@education.nt.gov.au,(08) 8956 9759,Bob Babu,Lisa Donoghue,"133.73247,-21.73983",Central Australia
Tennant Creek High School,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",admin.tchs@education.nt.gov.au,(08) 8962 2102,,Cheryl Dwyer,"134.196942,-19.644142",Central Australia
St Philip's College,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",info@stphilips.nt.edu.au,(08) 8950 4511,,Roger Herbert,"133.8839,-23.68982",Alice Springs
St Mary's Catholic School,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",admin.stmarys@nt.catholic.edu.au,(08) 8981 9796,,Rosie Harrison,"130.83883,-12.45935",Darwin
Taminmin College,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",admin.taminmin@education.nt.gov.au,(08) 898 37000,Mary Rose Henry,Sue Healy,"131.10089,-12.58037",North
Shepherdson College,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",principal.shepherdson@education.nt.gov.au,(08) 8987 9044,Georgia Smith,Joe Hewett,"135.56757,-12.02856",North
Sanderson Middle School,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, SANDERSON, 0813, NT",sanderson.middle@education.nt.gov.au,(08) 8927 8899,Donna Cartwright,Robert McIntosh,"130.89878,-12.38821",North
Rockhampton Downs School,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",emily.hubbert@education.nt.gov.au,(08) 8964 4675,Heather Watson,Emily Hubbert,"135.179711,-19.007623",Central Australia
Rosebery Primary School,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",roseberyps.admin@education.nt.gov.au,(08) 792 30100,Julie Branson,,"130.993714,-12.51111",North
Ross Park Primary School,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",rosspark.school@ntschools.net,(08) 895 52000,Naomi Berriman,Salima Spring,"133.8919,-23.6936",Central Australia
School of Sport Education NT,"1 Nemarluk Drive, Ludmilla, NT, 0820, NT","PO Box 42896, Casuarina, 0811, NT",admin.ssnt@education.nt.gov.au,(08) 899 95700,Joanne Heydon,Randall Cook,"130.8536697,-12.4223633",North
Robinson River School,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",chris.errington@education.nt.gov.au,(08) 8975 9956,Madelyn Farrington,Chris Errington,"136.98143,-16.76047",North
Ramingining School,"N/A, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0821, NT",sue.mcavoy@education.nt.gov.au,(08) 8979 7924,,Sue McAvoy,"134.92619,-12.32641",North
Pularumpi School,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",roseanna.brunker@education.nt.gov.au,(08) 8978 3961,,Roseanna Brunker,"130.417,-11.4036",North
Pine Creek School,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",janet.purje@education.nt.gov.au,(08) 8976 1228,Yvette Williams,Janet Purje,"131.836,-13.8219",North
Peppimenarti School,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",jen.robson@education.nt.gov.au,(08) 8978 2455,Carmel Pedersen,Jen Robson,"130.077,-14.14978",North
Pigeon Hole School,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",john.leahy@education.nt.gov.au,(08) 8975 0812,Jordin Oehm,John Leahy,"131.22025,-16.81439",North
Parap Primary School,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",parapps.office@education.nt.gov.au,(08) 898 22922,Debby Gribben,Kim Morgan,"130.84432,-12.42984",North
Papunya School,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",christine.munro@education.nt.gov.au,(08) 8956 8515 or (08) 8956 8323,Alexa Sutton,Christine Munro,"131.91031,-23.20283",Central Australia
Palmerston College,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",Palmerston.college@education.nt.gov.au,(08) 899 77999,,Natalie Banks,"130.9715587,-12.4951243",North
OLSH College - Traeger Campus,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,Paul Melloy,"None,None",Alice Springs
OLSH Primary School,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,Paul Melloy,"None,None",Alice Springs
OLSH College - Sadadeen Campus,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,Paul Melloy,"133.876402,-23.707784",Alice Springs
Ntaria School,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",ntariasch.admin@education.nt.gov.au,(08) 8956 7424,Gesheila Cortez,Emma Langton,"132.77595,-23.94255",Central Australia
NT School of Distance Education,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",ntsde.admin@education.nt.gov.au,(08) 892 22292,Mikayla Chin,Anne White,"130.833951,-12.4393203",North
Nyirripi School,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",ken.millar@education.nt.gov.au,(08) 8956 8880,Rhyl Hall,Ken Millar,"130.55281,-22.64994",Central Australia
Numbulwar School,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",lawry.mahon@education.nt.gov.au,(08) 8975 4650,Jodi-Anne Williamson,Lawry Mahon,"135.74119,-14.27811",North
NT Music School,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",nt.musicschool@education.nt.gov.au,(08) 896 35550,Houdeh Khoie,Bill Grose,"130.8986114,-12.3881943",North
Nightcliff Middle School,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",admin.nightms@education.nt.gov.au,(08) 898 37677,Lyn Waugh,Eva Kokkinomagoulos,"130.85177,-12.3787",North
Nhulunbuy High School,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",nhulunbuy.high@education.nt.gov.au,(08) 898 70844,,David Lees,"136.78298,-12.18676",North
Nganmarriyanga School,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",tim.webb@education.nt.gov.au,(08) 8978 2380,,Tim Webb,"129.882,-14.3528",North
Ngukurr School,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",ngukurr.cec@education.nt.gov.au,(08) 8975 4680,Kelsey Yanong,Gavin Fraser,"134.73294,-14.7285",North
Nhulunbuy Primary School,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",nps.frontoffice@education.nt.gov.au,(08) 898 70022,Kylie Davis,Rachel Blundell,"136.7841,-12.1821",North
Newcastle Waters School,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",rhianne.obst@education.nt.gov.au,(08) 8964 4566,Heather Watson,Rhianne Obst,"133.41007,-17.37253",Central Australia
Nganambala School,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",samuel.sailor@education.nt.gov.au,(08) 8978 2001,Carmel Pedersen,Samuel Sailor,"130.32521,-14.1701",North
Neutral Junction School,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",ruth.rawnsley@education.nt.gov.au,(08) 8956 9754,Bob Babu,Ruth Rawnsley,"133.994783,-21.515756",Central Australia
Mutitjulu School,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT",mutitjulu.school@education.nt.gov.au,(08) 8956 2547,Rowan Churches,Trish Noy,"131.064,-25.3481",Central Australia
Nemarluk School,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",admin.nemarluk@education.nt.gov.au,(08) 898 50400,Teri Nicol,Virg Hughes,"130.874505,-12.379467",North
Nakara Primary School,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT",nakara.primary@education.nt.gov.au,(08) 8927 9823,Lorraine Warnock,Liza Parr,"130.87776,-12.37014",North
Nightcliff Primary School,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",nightcliff.ps@education.nt.gov.au,(08) 8948 8488,Lisa Whistler,Jo Glennon,"130.84984,-12.38057",North
Murray Downs School,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT",natasha.hosny@education.nt.gov.au,(08) 8964 1951,Maree Hayes,Natasha Hosny,"134.67685,-21.0477",Central Australia
Moulden Primary School,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT",moulden.primary@education.nt.gov.au,(08) 8930 5900,,Ali Brady,"130.97113,-12.5065",North
Mulga Bore School,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT",pesala.brown@education.nt.gov.au,(08) 8956 9824,Therese Townsend,Pesala Brown,"134.2118,-22.452122",Central Australia
Minyerri School,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT",amy.dyke@education.nt.gov.au,(08) 8975 9972,Suzi White,Amy Dyke,"134.08281,-15.221225",North
Mount Allan School,"N/A, Yuelamu, NT","PMB  6, Mount Allan School via Alice Springs, 0872, NT",dowreen.lata@education.nt.gov.au,(08) 8956 8860,Lufen Cowham,Dowreen Lata,"132.2081,-22.2566",Central Australia
Mother Teresa Catholic Primary School,"Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, ",principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600,,Reuben Johnson,"None,None",
Moil Primary School,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT",admin.moilsch@education.nt.gov.au,(08) 898 37530,Annisa McCormick,Cindi Bowyer,"130.88067,-12.38794",North
Mimik-Ga Centre,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT",admin.mimik-ga@education.nt.gov.au,(08) 898 37900,Flavia Wainwright,Mark Mangohig,"130.8836896,-12.3689445",North
Milkwood Steiner,"107 Boulter Road, Berrimah NT 0828, Marrara, NT","PO Box 319, Karama, 0812, NT",info@milkwood.nt.edu.au,08 8947 0608,,Netanela Mizrahi,"130.922305,-12.414473",Darwin
Milyakburra School,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT",alessa.fremmer@education.nt.gov.au,(08) 8987 6084,,Alessa Fremmer,"136.1956,-13.7818",North
Millner Primary School,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT",admin.millnerps@education.nt.gov.au,(08) 792 30333,Megan Moss,Jessica Goveas,"130.85947,-12.390722",North
Milikapiti School,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT",chris.armstrong1@education.nt.gov.au,(08) 8978 3960,Bev McGregor,Chris Armstrong,"130.6711,-11.4194",North
Middle Point School,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT",middle.pt@education.nt.gov.au,(08) 8988 1688,Donna Cartwright,Leigh McKenzie,"131.31486,-12.57599",North
Mbunghara School,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT",mbunghara.school@education.nt.gov.au,(08) 8956 8503,Alexa Sutton,Phil Bartley,"132.35687,-23.29019",Central Australia
Milingimbi School,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",michael.jones@education.nt.gov.au,(08) 8987 9902,Paula Bailey,Michael Jones,"134.9201,-12.1021",North
Mataranka School,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT",telka.zotz@education.nt.gov.au,(08) 8975 4543,Jenny Carroll,Telka Zotz,"133.0651,-14.9219",North
Manyallaluk School,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt",admin.manyasch@education.nt.gov.au,(08) 8975 4438,Jordin Oehm,Ben Kleinig,"132.829,-14.2666",North
Mapuru Yirralka College,"Dhabulu Rd, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT",debra.bateman@ntschools.net,(08) 8970 4996,,Debra Bateman,"135.4378,-12.2532",East Arnhem
Manunda Terrace Primary School,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT",manunda.school@education.nt.gov.au,(08) 899 77366,Lakshmi Vazhayil,Lisa Hirschausen,"130.91926,-12.40311",North
Mamaruni School,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT",terri-lee.evans@education.nt.gov.au,(08) 8979 0255,Bev McGregor,Terri Lee Evans,"132.57775,-11.14856",North
Maningrida School,"N/A, Maningrida, 0822, NT","PMB 67, via WINNELLIE, 0822, NT",maningrida.cec@education.nt.gov.au,(08) 8979 5950,Dama Stride,Petrina Hayward,"134.22333,-12.05041",North
Malak Primary School,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT",admin.malak@education.nt.gov.au,(08) 899 77600,Rachel Clayton,Lorraine Evans,"130.90309,-12.39283",North
MacFarlane Primary School,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT",admin.macfasch@education.nt.gov.au,(08) 896 51700,Lisa Alexander,Philip Russell,"132.28311,-14.4666",North
Living Waters Lutheran School,"Cnr Albrecht Dr & Kramer St, Alice Springs, NT","PO Box 8869, Alice Springs, 0871, NT",living.waters@ntschools.net,(08) 8950 0700,,Lisa Goldsworthy,"133.83155,-23.69766",Alice Springs
Ludmilla Primary School,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT",admin.ludmilla@education.nt.gov.au,(08) 898 37888,Manager Admin,Carol Putica,"130.85556,-12.42534",North
Laynhapuy Homelands School,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT",yhs.admin@ntschools.net,(08) 898 71224,,Haidee Dentith,"136.888,-12.2528",North
Leanyer Primary School,"114 Leanyer Drive,, Leanyer, 0812, NT","114 Leanyer Drive, LEANYER, 0812, NT",admin.leanyer@education.nt.gov.au,(08) 8927 4022,Helen Savvas,Leah Crockford,"130.89933,-12.37515",North
Larrakeyah Primary School,"3 Packard St, Larrakeyah, 0820, NT","PO Box 412, DARWIN, 0801, NT",larrakeyah.admin@education.nt.gov.au,(08) 8981 3211,Rose Gerlach,Natasha Guse,"130.82965,-12.45787",North
Kiana School,"N/A, Kiana, NT","PMB 33, via Tennanat Creek, 0861, NT",tba,(08) 8975 9820,Suzi White,tba tba,"136.18325,-17.24244",North
Lajamanu School,"N/A, Lajamanu ( Hooker Ck), NT","PMB 63, via Katherine, 0851, NT",admin.lajamcec@education.nt.gov.au,(08) 8975 0946,Suzanne Keen,Karishma Kumar,"130.633981,-18.3353",North
Katherine School Of The Air,"101 Giles St, Katherine, 0850, NT","PO Box 531, KATHERINE, 0851, NT",kath.soa@education.nt.gov.au,(08) 896 51555,,Donna Bryant,"132.26948,-14.4502",North
Katherine High School,"Grevillea Rd, Katherine East, 0850, NT","PO Box 189, KATHERINE, 0851, NT",admin.kathehs@education.nt.gov.au,(08) 897 38200,Shayla Rice,Nick Lovering,"132.28306,-14.46347",North
Kintore Street School,"11 Kintore St, Katherine, 0872, NT","PO Box 1931, KATHERINE, 0851, NT",kintore.admin@education.nt.gov.au,(08) 8973 3888,Jodie Locke,Margaret Chamberlain,"132.25918,-14.46361",North
Katherine South Primary School,"Riverbank Dr, Katherine, 0850, NT","PO Box 721, KATHERINE, 0851, NT",admin.kathesch@education.nt.gov.au,(08) 8972 1277,Shayla Rice,Karen Taylor,"132.255,-14.4802",North
Karama Primary School,"37 Livistona Rd, Karama, 0812, NT","PO Box 103, Karama, 0813, NT",karama.school@education.nt.gov.au,(08) 898 37700,Debbie O'Neill,Maria Albion,"130.91438,-12.39838",North
Jilkminggan School,"N/A, Jilkminggan (Duck Creek), NT","PO Box 4054, Mataranka, 0852, NT",admin.jilkmsch@education.nt.gov.au,(08) 8975 4896,Jenny Carroll,Lyndie Watson,"133.30123,-14.95402",North
Kalkaringi School,"Whitlam st, Kalkaringi (Wave hill), NT","PMB 41, KATHERINE, 0852, NT",anne.saunders@education.nt.gov.au,(08) 896 51888,Jordin Oehm,Anne Saunders,"130.83233,-17.44597",North
Jabiru Area School,"40 Waterhouse Rd, Jabiru, NT","PO Box  246, Jabiru, 0886, NT",jabiru.areaschool@education.nt.gov.au,(08) 8938 3333,Sharon Rathley-Kulu,,"132.83534,-12.67577",North
Jingili Primary School,"17 Rindberg St, Jingili, 0810, NT","PO Box 40600, CASUARINA, 0810, NT",jingili.school@education.nt.gov.au,(08) 898 37555,Andrea Thomas,Jemma Rust,"130.87423,-12.38719",North
Larapinta Primary School,"22 Albrecht Dr, Alice Springs, NT","PO Box 9021, ALICE SPRINGS, 0871, NT",larapinta.primary@education.nt.gov.au,(08) 895 85155,Larapinta Finance,Brenda Jolley,"133.833392,-23.696514",Central Australia
Laramba School,"N/A, Laramba (Napperby), NT","PMB 213, via Alice Springs, 0872, NT",laramba.school@education.nt.gov.au,(08) 8956 8771,Lufen Cowham,Michael Ryan,"132.75683,-22.533",Central Australia
Howard Springs Primary School,"295 Whitewood Rd, Howard Springs, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT",howard.springs@education.nt.gov.au,(08) 898 30000,Sue Abrook,Daryll Kinnane,"131.04519,-12.4955",North
